ГЭСН|05|05-01-001|4|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Погружение дизель-молотом копровой установки на базе трактора железобетонных свай|Погружение дизель-молотом копровой установки на базе трактора железобетонных свай длиной: до 6 м в грунты группы 1
ГЭСН|05|05-01-002|8|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Погружение дизель-молотом копровой установки на базе экскаватора железобетонных свай|Погружение дизель-молотом копровой установки на базе экскаватора железобетонных свай длиной: до 6 м в грунты группы 1
ГЭСН|05|05-01-003|8|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Погружение дизель-молотом на гусеничном копре железобетонных свай|Погружение дизель-молотом на гусеничном копре железобетонных свай длиной: до 6 м в грунты группы 1
ГЭСН|05|05-01-004|3|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Погружение рельсовым копром железобетонных свай|Погружение рельсовым копром железобетонных свай длиной: до 12 м в грунты группы 1
ГЭСН|05|05-01-005|4|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Погружение вибропогружателем железобетонных свай|Погружение вибропогружателем железобетонных свай: сплошных длиной до 10 м
ГЭСН|05|05-01-006|1|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Наращивание сплошных железобетонных свай квадратного сечения|Наращивание сплошных железобетонных свай квадратного сечения
ГЭСН|05|05-01-007|6|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Погружение вибропогружателем железобетонных свай-оболочек с извлечением грунта из полости диаметром до 2 м|Погружение вибропогружателем железобетонных свай-оболочек длиной: до 12 м с извлечением грунта из полости сваи-оболочки 
ГЭСН|05|05-01-008|4|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Погружение вибропогружателем железобетонных свай-оболочек с извлечением грунта из полости диаметром до 3 м|Погружение вибропогружателем железобетонных свай-оболочек с извлечением грунта из полости сваи-оболочки диаметром до 3 м
ГЭСН|05|05-01-010|5|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Вырубка бетона из арматурного каркаса железобетонных свай|Вырубка бетона из арматурного каркаса железобетонных: свай площадью сечения до 0,1 м2
ГЭСН|05|05-01-011|12|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Погружение дизель-молотом копровой установки на базе трактора стальных шпунтовых свай|Погружение дизель-молотом копровой установки на базе трактора стальных шпунтовых свай массой 1 м: до 50 кг, длиной до 8 
ГЭСН|05|05-01-012|12|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Погружение вибропогружателем стальных шпунтовых свай|Погружение вибропогружателем стальных шпунтовых свай массой 1 м: до 50 кг на глубину до 5 м
ГЭСН|05|05-01-013|15|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Извлечение стальных шпунтовых свай|Извлечение стальных шпунтовых свай массой 1 м: до 50 кг, длиной до 10 м из грунтов группы 1
ГЭСН|05|05-01-014|2|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Крепление шпунтового ограждения котлованов под опоры мостов|Крепление шпунтового ограждения котлованов под опоры мостов: деревянного
ГЭСН|05|05-01-015|8|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Погружение деревянных свай в мостостроении|Погружение в мостостроении в грунты 1-2 групп: одиночных свай из бревен длиной до 8 м
ГЭСН|05|05-01-016|1|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Обстройка деревянного шпунтового ограждения (шапочный брус и парные схватки на шпунтовой стенке)|Обстройка деревянного шпунтового ограждения (шапочный брус и парные схватки на шпунтовой стенке)
ГЭСН|05|05-01-017|4|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Устройство и разборка подмостей под копер|Устройство и разборка подмостей под копер: под опоры мостов на суше
ГЭСН|05|05-01-018|8|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Погружение железобетонных свай-колонн длиной до 6 м и до 8 м агрегатами копровыми|Погружение агрегатами копровыми железобетонных свай-колонн длиной: до 6 м на глубину до 3 м в грунты группы 1
ГЭСН|05|05-01-019|8|Свайные работы, опускные колодцы, закрепление грунтов|СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ|Погружение железобетонных свай-колонн длиной до 6 м и до 8 м копрами гусеничными|Погружение копрами гусеничными железобетонных свай-колонн длиной: до 6 м на глубину до 3 м в грунты группы 1
