norm_code	table_code	table_name	division	unit	norm_name
12-01-002-05	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских четырехслойных из рулонных кровельных материалов на битумной мастике с последующим нанесением антисептированной битумной мастики толщиной 2 мм с защитным
12-01-002-06	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских четырехслойных из рулонных кровельных материалов на битумной мастике с последующим нанесением антисептированной битумной мастики толщиной 2 мм с защитным
12-01-002-07	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских трехслойных из рулонных кровельных материалов на битумно-полимерной мастике
12-01-002-08	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских из наплавляемых материалов: в три слоя
12-01-002-09	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских из наплавляемых материалов: в два слоя
12-01-002-10	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских из наплавляемых материалов: в один слой
12-01-002-11	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Защита ковра плоских кровель гравием на битумной мастике
12-01-002-12	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских из рулонных кровельных гидроизоляционных самоклеящихся материалов с антиадгезионной пленкой: с прогревом
12-01-002-13	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских из рулонных кровельных гидроизоляционных самоклеящихся материалов с антиадгезионной пленкой: без прогрева
12-01-002-14	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских из рулонных полимерных кровельных материалов на мастике с подготовкой поверхности: в один слой
12-01-002-15	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских из рулонных полимерных кровельных материалов на мастике с подготовкой поверхности: в два слоя
12-01-002-16	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских с применением полимерной мастики на основе бутилкаучука: огрунтовка подготовленных оснований под водоизоляционный кровельный ковер
12-01-002-17	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских с применением полимерной мастики на основе бутилкаучука: нанесение полимерной мастики на основе бутилкаучука на огрунтованную поверхность в один слой
12-01-002-18	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских из рулонных кровельных гидроизоляционных битумно-полимерных СБС-модифицированных материалов в один слой: методом механического крепления
12-01-002-19	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских из рулонных кровельных гидроизоляционных битумно-полимерных СБС-модифицированных материалов в один слой: методом полосовой наклейки (термической активаци
12-01-002-20	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских из рулонных кровельных гидроизоляционных битумно-полимерных СБС-модифицированных материалов в один слой: методом свободной укладки
12-01-002-21	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство плоских кровель из ЭПДМ мембраны: с наклейкой на мастику
12-01-002-22	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство плоских кровель из ЭПДМ мембраны: самоклеящейся
12-01-002-23	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство кровель плоских из рулонных кровельных гидроизоляционных материалов на полимерной мастике с подготовкой поверхности
12-01-002-24	12-01-002	Устройство кровель плоских	КРОВЛИ	100 м2	Устройство защитного антикоррозийного полимерного наливного покрытия
12-01-003-01	12-01-003	Устройство трехслойных мастичных кровель, армированных двумя слоями стеклосетки	КРОВЛИ	100 м2	Устройство трехслойных мастичных кровель, армированных двумя слоями стеклосетки,: из битумной мастики
12-01-003-02	12-01-003	Устройство трехслойных мастичных кровель, армированных двумя слоями стеклосетки	КРОВЛИ	100 м2	Устройство трехслойных мастичных кровель, армированных двумя слоями стеклосетки,: из битумно-резиновой мастики
12-01-004-01	12-01-004	Устройство примыканий рулонных и мастичных кровель к стенам и парапетам	КРОВЛИ	100 м	Устройство примыканий рулонных и мастичных кровель к стенам и парапетам высотой: до 600 мм без фартуков
12-01-004-02	12-01-004	Устройство примыканий рулонных и мастичных кровель к стенам и парапетам	КРОВЛИ	100 м	Устройство примыканий рулонных и мастичных кровель к стенам и парапетам высотой: более 600 мм с одним фартуком
12-01-004-03	12-01-004	Устройство примыканий рулонных и мастичных кровель к стенам и парапетам	КРОВЛИ	100 м	Устройство примыканий рулонных и мастичных кровель к стенам и парапетам высотой: более 600 мм с двумя фартуками
12-01-004-04	12-01-004	Устройство примыканий рулонных и мастичных кровель к стенам и парапетам	КРОВЛИ	100 м	Устройство примыканий кровель из наплавляемых материалов к стенам и парапетам высотой: до 600 мм без фартуков
12-01-004-05	12-01-004	Устройство примыканий рулонных и мастичных кровель к стенам и парапетам	КРОВЛИ	100 м	Устройство примыканий кровель из наплавляемых материалов к стенам и парапетам высотой: более 600 мм с одним фартуком
12-01-004-06	12-01-004	Устройство примыканий рулонных и мастичных кровель к стенам и парапетам	КРОВЛИ	100 м	Устройство примыканий кровель из наплавляемых материалов к стенам и парапетам высотой: более 600 мм с двумя фартуками
12-01-004-07	12-01-004	Устройство примыканий рулонных и мастичных кровель к стенам и парапетам	КРОВЛИ	100 м	Устройство мест выхода коммуникаций и примыканий с применением рулонного кровельного гидроизоляционного самоклеящегося материала с антиадгезионной пленкой: с прогревом
12-01-004-08	12-01-004	Устройство примыканий рулонных и мастичных кровель к стенам и парапетам	КРОВЛИ	100 м	Устройство мест выхода коммуникаций и примыканий с применением рулонного кровельного гидроизоляционного самоклеящегося материала с антиадгезионной пленкой: без прогрева
12-01-004-09	12-01-004	Устройство примыканий рулонных и мастичных кровель к стенам и парапетам	КРОВЛИ	100 м	Установка прижимной планки
12-01-004-10	12-01-004	Устройство примыканий рулонных и мастичных кровель к стенам и парапетам	КРОВЛИ	100 м	Устройство примыканий высотой до 450 мм из: ЭПДМ мембраны с наклейкой на мастику
12-01-004-11	12-01-004	Устройство примыканий рулонных и мастичных кровель к стенам и парапетам	КРОВЛИ	100 м	Устройство примыканий высотой до 450 мм из: самоклеящейся ЭПДМ мембраны
12-01-005-01	12-01-005	Защита ендов	КРОВЛИ	100 м	Защита ендов: дополнительным двухслойным ковром из рулонных материалов на битумной мастике
12-01-005-02	12-01-005	Защита ендов	КРОВЛИ	100 м	Защита ендов: слоем гравия
12-01-005-03	12-01-005	Защита ендов	КРОВЛИ	100 м	Защита ендов: дополнительным двухслойным ковром из рулонных наплавляемых материалов
12-01-005-04	12-01-005	Защита ендов	КРОВЛИ	100 м	Защита ендов: дополнительным одним слоем рулонных наплавляемых материалов
12-01-006-01	12-01-006	Устройство деформационных швов	КРОВЛИ	100 м	Устройство деформационных швов с наклейкой дополнительных слоев рулонного кровельного материала на битумной мастике
12-01-006-02	12-01-006	Устройство деформационных швов	КРОВЛИ	100 м	Устройство деформационных швов с наплавлением дополнительных слоев рулонного кровельного материала
12-01-007-01	12-01-007	Устройство кровель различных типов	КРОВЛИ	100 м2	Устройство кровель из волнистых хризотилцементных листов: с симметричными кромками по деревянной обрешетке с ее устройством
12-01-007-02	12-01-007	Устройство кровель различных типов	КРОВЛИ	100 м2	Устройство кровель из волнистых хризотилцементных листов: с асимметричными кромками по деревянной обрешетке с ее устройством
12-01-007-03	12-01-007	Устройство кровель различных типов	КРОВЛИ	100 м2	Устройство кровель из волнистых хризотилцементных листов: по готовым прогонам
12-01-007-04	12-01-007	Устройство кровель различных типов	КРОВЛИ	100 м2	На герметизацию соединений между хризотилцементными листами добавлять к нормам 12-01-007-01, 12-01-007-02, 12-01-007-03
12-01-007-05	12-01-007	Устройство кровель различных типов	КРОВЛИ	100 м2	Устройство кровель из черепицы: пазовой штампованной или прессованной (керамической и цементно-песчаной (бетонной))
12-01-007-06	12-01-007	Устройство кровель различных типов	КРОВЛИ	100 м2	Устройство кровель из черепицы: полимернаполненной (полимерпесчаной)
12-01-007-07	12-01-007	Устройство кровель различных типов	КРОВЛИ	100 м2	Устройство кровель из черепицы: полосной битумной на скатной кровле по сплошной обшивке без ее устройства
12-01-007-08	12-01-007	Устройство кровель различных типов	КРОВЛИ	100 м2	Устройство кровель из оцинкованной стали: без настенных желобов
